Name,Twitter Ticker,Country,Industry,Google Ticker,Google Peers,Twitter Peers
TRIUMPH GROUP,$TGI,United States,Industrials,NYSE:TGI,TSE:CAE NYSE:HXL LON:MGGT EPA:ZC NASDAQ:BEAV ,CAE.TO $HXL MGGT.L ZODC.PA $BEAV 
BE AEROSPACE,$BEAV,United States,Industrials,NASDAQ:BEAV,NYSE:HXL LON:MGGT EPA:ZC NYSE:TDG NYSE:TXT ,$HXL MGGT.L ZODC.PA $TDG $TXT 
AAR,$AIR,United States,Industrials,NYSE:AIR,LON:SNR LON:COB TSE:CAE NYSE:HXL NASDAQ:BEAV ,SNR.L COB.L CAE.TO $HXL $BEAV 
CAE,CAE.TO,Canada,Industrials,TSE:CAE,LON:SNR LON:COB NYSE:HXL LON:MGGT EPA:ZC ,SNR.L COB.L $HXL MGGT.L ZODC.PA 
SAFRAN,SAF.PA,France,Industrials,EPA:SAF,NYSE:TXT NYSE:COL NYSE:GR EPA:EAD NYSE:PCP EPA:ZC ,$TXT $COL $GR EAD.PA $PCP ZODC.PA 
SPIRIT AEROSYSTEMS ,$SPR,United States,Industrials,NYSE:SPR,TSE:CAE NYSE:HXL LON:MGGT EPA:ZC NASDAQ:BEAV ,CAE.TO $HXL MGGT.L ZODC.PA $BEAV 
ZODIAC AEROSPACE,ZODC.PA,France,Industrials,EPA:ZC,NYSE:HXL LON:MGGT NASDAQ:BEAV NYSE:TDG NYSE:TXT EPA:SAF EPA:EAD ,$HXL MGGT.L $BEAV $TDG $TXT SAF.PA EAD.PA 
GOODRICH,$GR,United States,Industrials,NYSE:GR,NYSE:TXT NYSE:COL EPA:SAF EPA:EAD NYSE:PCP ,$TXT $COL SAF.PA EAD.PA $PCP 
BOEING,$BA,United States,Industrials,NYSE:BA,EPA:EAD NYSE:PCP NYSE:UTX ,EAD.PA $PCP $UTX 
HEXCEL,$HXL,United States,Industrials,NYSE:HXL,LON:SNR LON:COB TSE:CAE LON:MGGT EPA:ZC NYSE:AIR NASDAQ:BEAV ,SNR.L COB.L CAE.TO MGGT.L ZODC.PA $AIR $BEAV 
BOMBARDIER,BBDa.TO,Canada,Industrials,TSE:BBD.A,NYSE:TDG NYSE:TXT NYSE:COL EPA:SAF NYSE:GR ,$TDG $TXT $COL SAF.PA $GR 
BOMBARDIER,BBDb.TO,Canada,Industrials,TSE:BBD.B,NYSE:TDG NYSE:TXT NYSE:COL EPA:SAF NYSE:GR ,$TDG $TXT $COL SAF.PA $GR 
MOOG,$MOGa,United States,Industrials,NYSE:MOG.A,NYSE:AIR LON:SNR LON:COB TSE:CAE NYSE:HXL ,$AIR SNR.L COB.L CAE.TO $HXL 
ESTERLINE TECHNOLOGIES,$ESL,United States,Industrials,NYSE:ESL,NYSE:AIR LON:SNR LON:COB TSE:CAE NYSE:HXL ,$AIR SNR.L COB.L CAE.TO $HXL 
UNITED TECHNOLOGIES,$UTX,United States,Industrials,NYSE:UTX,EPA:EAD NYSE:PCP NYSE:BA ,EAD.PA $PCP $BA 
PRECISION CASTPARTS,$PCP,United States,Industrials,NYSE:PCP,EPA:SAF NYSE:GR EPA:EAD NYSE:BA NYSE:UTX ,SAF.PA $GR EAD.PA $BA $UTX 
TELEDYNE TECHNOLOGIES,$TDY,United States,Industrials,NYSE:TDY,NYSE:AIR LON:SNR LON:COB TSE:CAE NYSE:HXL ,$AIR SNR.L COB.L CAE.TO $HXL 
MTU AERO ENGINES ,MTXGn.DE,Germany,Industrials,ETR:MTX,TSE:CAE NYSE:HXL LON:MGGT EPA:ZC NASDAQ:BEAV ,CAE.TO $HXL MGGT.L ZODC.PA $BEAV 
ROCKWELL COLLINS,$COL,United States,Industrials,NYSE:COL,NASDAQ:BEAV NYSE:TDG NYSE:TXT EPA:SAF NYSE:GR ,$BEAV $TDG $TXT SAF.PA $GR 
MEGGITT,MGGT.L,United Kingdom,Industrials,LON:MGGT,LON:COB TSE:CAE NYSE:HXL EPA:ZC NASDAQ:BEAV LON:SNR ,COB.L CAE.TO $HXL ZODC.PA $BEAV SNR.L 
ROLLS ROYCE ,RR.L,United Kingdom,Industrials,LON:RR,NYSE:COL EPA:SAF NYSE:GR EPA:EAD NYSE:PCP ,$COL SAF.PA $GR EAD.PA $PCP 
COBHAM,COB.L,United Kingdom,Industrials,LON:COB,NYSE:AIR LON:SNR TSE:CAE NYSE:HXL LON:MGGT ,$AIR SNR.L CAE.TO $HXL MGGT.L 
EADS,EAD.PA,France,Industrials,EPA:EAD,EPA:SAF NYSE:GR NYSE:PCP NYSE:BA NYSE:UTX EPA:ZC ,SAF.PA $GR $PCP $BA $UTX ZODC.PA 
TRANSDIGM ,$TDG,United States,Industrials,NYSE:TDG,EPA:ZC NASDAQ:BEAV NYSE:TXT NYSE:COL EPA:SAF ,ZODC.PA $BEAV $TXT $COL SAF.PA 
SENIOR,SNR.L,United Kingdom,Industrials,LON:SNR,NYSE:AIR LON:COB TSE:CAE ,$AIR COB.L CAE.TO 
TEXTRON,$TXT,United States,Industrials,NYSE:TXT,EPA:ZC NASDAQ:BEAV NYSE:TDG NYSE:COL EPA:SAF ,ZODC.PA $BEAV $TDG $COL SAF.PA 
CHINA EASTERN AIRLINES,0670.HK,Hong Kong,Consumer Services,HKG:0670,NYSE:DAL BOM:500285 NSE:JETAIRWAYS HKG:0293 TPE:2618 ,$DAL SPJT.BO JET.NS 0293.HK 2618.TW 
DEUTSCHE LUFTHANSA,LHAG.DE,Germany,Consumer Services,ETR:LHA,LON:EZJ ASX:QAN NYSE:ALK NYSE:LUV NYSE:UAL ,EZJ.L QAN.AX $ALK $LUV $UAL 
QANTAS AIRWAYS,QAN.AX,Australia,Consumer Services,ASX:QAN,NASDAQ:JBLU LON:EZJ NYSE:ALK NYSE:LUV NYSE:UAL ,$JBLU EZJ.L $ALK $LUV $UAL 
CHINA AIRLINES,2610.TW,Taiwan,Consumer Services,TPE:2610,NSE:JETAIRWAYS HKG:0293 TPE:2618 ,JET.NS 0293.HK 2618.TW 
DELTA AIR LINES,$DAL,United States,Consumer Services,NYSE:DAL,NYSE:ALK NYSE:LUV NYSE:UAL BOM:500285 NSE:JETAIRWAYS ,$ALK $LUV $UAL SPJT.BO JET.NS 
VIRGIN AUSTRALIA ,VAH.AX,Australia,Consumer Services,ASX:VAH,NASDAQ:SKYW NZE:AIR EPA:AF NASDAQ:JBLU ,$SKYW AIR.NZ AIRF.PA $JBLU 
CHINA SOUTHERN AIRLINES,1055.HK,Hong Kong,Consumer Services,HKG:1055,NYSE:DAL BOM:500285 NSE:JETAIRWAYS HKG:0293 TPE:2618 ,$DAL SPJT.BO JET.NS 0293.HK 2618.TW 
SOUTHWEST AIRLINES,$LUV,United States,Consumer Services,NYSE:LUV,ASX:QAN NYSE:ALK NYSE:UAL NYSE:DAL BOM:500285 ,QAN.AX $ALK $UAL $DAL SPJT.BO 
SPICEJET,SPJT.BO,India,Consumer Services,BOM:500285,NYSE:LUV NYSE:UAL NYSE:DAL NSE:JETAIRWAYS HKG:0293 ,$LUV $UAL $DAL JET.NS 0293.HK 
INTERNATIONAL CONSOLIDATED AIRLINES,ICAG.L,United Kingdom,Consumer Services,LON:IAG,LON:EZJ ASX:QAN NYSE:ALK NYSE:LUV NYSE:UAL ,EZJ.L QAN.AX $ALK $LUV $UAL 
CATHAY PACIFIC AIRWAYS,0293.HK,Hong Kong,Consumer Services,HKG:0293,BOM:500285 NSE:JETAIRWAYS TPE:2618 ,SPJT.BO JET.NS 2618.TW 
KINGFISHER AIRLINES,KING.NS,India,Consumer Services,NSE:KFA,NYSE:ALK NYSE:LUV NYSE:UAL NYSE:DAL BOM:500285 ,$ALK $LUV $UAL $DAL SPJT.BO 
UNITED CONTINENTAL ,$UAL,United States,Consumer Services,NYSE:UAL,ASX:QAN NYSE:ALK NYSE:LUV NYSE:DAL BOM:500285 ,QAN.AX $ALK $LUV $DAL SPJT.BO 
AIR CANADA,ACb.TO,Canada,Consumer Services,TSE:AC.B,NASDAQ:SKYW NZE:AIR EPA:AF ,$SKYW AIR.NZ AIRF.PA 
AIR CHINA,0753.HK,Hong Kong,Consumer Services,HKG:0753,NSE:JETAIRWAYS HKG:0293 TPE:2618 ,JET.NS 0293.HK 2618.TW 
AIR FRANCE KLM,AIRF.PA,France,Consumer Services,EPA:AF,NASDAQ:SKYW NZE:AIR NASDAQ:JBLU LON:EZJ ,$SKYW AIR.NZ $JBLU EZJ.L 
AIR New Zealand,AIR.NZ,New Zealand,Consumer Services,NZE:AIR,NASDAQ:SKYW EPA:AF NASDAQ:JBLU LON:EZJ ,$SKYW AIRF.PA $JBLU EZJ.L 
EVA AIRWAYS,2618.TW,Taiwan,Consumer Services,TPE:2618,BOM:500285 NSE:JETAIRWAYS HKG:0293 ,SPJT.BO JET.NS 0293.HK 
US AIRWAYS ,$LCC,United States,Consumer Goods,NYSE:LCC,EPA:AF NASDAQ:JBLU LON:EZJ ASX:QAN NYSE:ALK ,AIRF.PA $JBLU EZJ.L QAN.AX $ALK 
JET AIRWAYS,JET.NS,India,Consumer Goods,NSE:JETAIRWAYS,NYSE:UAL NYSE:DAL BOM:500285 HKG:0293 TPE:2618 ,$UAL $DAL SPJT.BO 0293.HK 2618.TW 
JETBLUE AIRWAYS,$JBLU,United States,Consumer Goods,NASDAQ:JBLU,NASDAQ:SKYW NZE:AIR EPA:AF LON:EZJ ASX:QAN ,$SKYW AIR.NZ AIRF.PA EZJ.L QAN.AX 
ALASKA AIR ,$ALK,United States,Financials,NYSE:ALK,NASDAQ:JBLU LON:EZJ ASX:QAN NYSE:LUV NYSE:UAL ,$JBLU EZJ.L QAN.AX $LUV $UAL 
SKYWEST,$SKYW,United States,Financials,NASDAQ:SKYW,NZE:AIR EPA:AF NASDAQ:JBLU ,AIR.NZ AIRF.PA $JBLU 
EASYJET,EZJ.L,United Kingdom,Financials,LON:EZJ,EPA:AF NASDAQ:JBLU ASX:QAN NYSE:ALK NYSE:LUV ,AIRF.PA $JBLU QAN.AX $ALK $LUV 
ALL NIPPON AIRWAYS ,9202.T,Japan,Financials,TYO:9202,NASDAQ:SKYW NZE:AIR EPA:AF ,$SKYW AIR.NZ AIRF.PA 
TRUSTPOWER,TPW.NZ,New Zealand,Health Care,NZE:TPW,HKG:0182 TSE:NPI ELI:EDPR NZE:CEN NSE:BFUTILITIE ,0182.HK NPI.TO EDPR.LS CEN.NZ BFUT.NS 
EDP,EDP.LS,Portugal,Health Care,ELI:EDP,NZE:TPW ELI:EDPR NZE:CEN NSE:BFUTILITIE NSE:IBPOW ,TPW.NZ EDPR.LS CEN.NZ BFUT.NS INDP.NS 
EDP RENOVAVEIS,EDPR.LS,Portugal,Industrials,ELI:EDPR,HKG:0182 TSE:NPI NZE:TPW NZE:CEN NSE:BFUTILITIE ,0182.HK NPI.TO TPW.NZ CEN.NZ BFUT.NS 
CONTACT ENERGY,CEN.NZ,New Zealand,Industrials,NZE:CEN,TSE:NPI NZE:TPW ELI:EDPR NSE:BFUTILITIE NSE:IBPOW ,NPI.TO TPW.NZ EDPR.LS BFUT.NS INDP.NS 
BF UTILITIES,BFUT.NS,India,Industrials,NSE:BFUTILITIE,NZE:TPW ELI:EDPR NZE:CEN NSE:IBPOW NSE:JSWENERGY ,TPW.NZ EDPR.LS CEN.NZ INDP.NS JSWE.NS 
CHINA SUNTIEN GREEN ENERGY,0956.HK,Hong Kong,Industrials,HKG:0956,NZE:TPW ELI:EDPR NZE:CEN NSE:BFUTILITIE NSE:IBPOW ,TPW.NZ EDPR.LS CEN.NZ BFUT.NS INDP.NS 
CHINA WINDPOWER ,0182.HK,Hong Kong,Industrials,HKG:0182,TSE:NPI NZE:TPW ELI:EDPR ,NPI.TO TPW.NZ EDPR.LS 
NHPC,NHPC.NS,India,Industrials,NSE:NHPC,NSE:BFUTILITIE NSE:IBPOW NSE:JSWENERGY ,BFUT.NS INDP.NS JSWE.NS 
ENEL GREEN POWER,EGPW.MI,Italy,Industrials,BIT:EGPW,NZE:TPW ELI:EDPR NZE:CEN NSE:BFUTILITIE NSE:IBPOW ,TPW.NZ EDPR.LS CEN.NZ BFUT.NS INDP.NS 
SJVN,SJVN.NS,India,Consumer Goods,NSE:SJVN,NSE:BFUTILITIE NSE:IBPOW NSE:JSWENERGY NSE:NHPC ,BFUT.NS INDP.NS JSWE.NS NHPC.NS 
JAIPRAKASH POWER VENTURES,JAPR.NS,India,Consumer Goods,NSE:JPPOWER,NSE:BFUTILITIE NSE:IBPOW NSE:JSWENERGY NSE:NHPC ,BFUT.NS INDP.NS JSWE.NS NHPC.NS 
INDIABULLS POWER,INDP.NS,India,Consumer Goods,NSE:IBPOW,ELI:EDPR NZE:CEN NSE:BFUTILITIE NSE:JSWENERGY NSE:NHPC ,EDPR.LS CEN.NZ BFUT.NS JSWE.NS NHPC.NS 
NORTHLAND POWER,NPI.TO,Canada,Consumer Goods,TSE:NPI,HKG:0182 NZE:TPW ELI:EDPR NZE:CEN ,0182.HK TPW.NZ EDPR.LS CEN.NZ 
ALGONQUIN POWER & UTILITIES,AQN.TO,Canada,Consumer Goods,TSE:AQN,HKG:0182 TSE:NPI NZE:TPW ,0182.HK NPI.TO TPW.NZ 
JSW ENERGY,JSWE.NS,India,Consumer Goods,NSE:JSWENERGY,NZE:CEN NSE:BFUTILITIE NSE:IBPOW NSE:NHPC ,CEN.NZ BFUT.NS INDP.NS NHPC.NS 
INNERGEX RENEWABLE ENERGY,INE.TO,Canada,Consumer Goods,TSE:INE,HKG:0182 TSE:NPI NZE:TPW ,0182.HK NPI.TO TPW.NZ 
CHINA DATANG CORP RENEWABLE POWER,1798.HK,Hong Kong,Consumer Goods,HKG:1798,NZE:TPW ELI:EDPR NZE:CEN NSE:BFUTILITIE NSE:IBPOW ,TPW.NZ EDPR.LS CEN.NZ BFUT.NS INDP.NS 
CHINA HONGQIAO ,1378.HK,Hong Kong,Basic Materials,HKG:1378,NYSE:AA HKG:1333 HKG:1208 ,$AA 1333.HK 1208.HK 
ALUMINA,AWC.AX,Australia,Basic Materials,ASX:AWC,NYSE:AA HKG:1333 HKG:1208 ,$AA 1333.HK 1208.HK 
ALUMINUM CORPORATION OF CHINA,2600.HK,Hong Kong,Basic Materials,HKG:2600,HKG:1333 HKG:1208 HKG:1378 ,1333.HK 1208.HK 1378.HK 
MINMETALS RESOURCES,1208.HK,Hong Kong,Basic Materials,HKG:1208,ASX:AWC NYSE:AA HKG:1333 HKG:1378 ,AWC.AX $AA 1333.HK 1378.HK 
CHINA ZHONGWANG ,1333.HK,Hong Kong,Basic Materials,HKG:1333,ASX:AWC NYSE:AA HKG:1208 HKG:1378 ,AWC.AX $AA 1208.HK 1378.HK 
NIPPON LIGHT METAL,5701.T,Japan,Technology,TYO:5701,ASX:AWC NYSE:AA HKG:1333 ,AWC.AX $AA 1333.HK 
UNITED COMPANY RUSAL ,0486.HK,Hong Kong,Technology,HKG:0486,HKG:1333 HKG:1208 HKG:1378 ,1333.HK 1208.HK 1378.HK 
FURUKAWA SKY ALUMINUM,5741.T,Japan,Technology,TYO:5741,ASX:AWC NYSE:AA HKG:1333 ,AWC.AX $AA 1333.HK 
ALCOA,$AA,United States,Technology,NYSE:AA,ASX:AWC HKG:1333 HKG:1208 HKG:1378 ,AWC.AX 1333.HK 1208.HK 1378.HK 
NATIONAL ALUMINIUM COMPANY,NALU.NS,India,Technology,NSE:NATIONALUM,HKG:1333 HKG:1208 HKG:1378 ,1333.HK 1208.HK 1378.HK 
LUK FOOK ,0590.HK,Hong Kong,Technology,HKG:0590,HKG:0891 HKG:3389 NYSE:JWN HKG:0330 NYSE:LTD ,0891.HK 3389.HK $JWN 0330.HK $LTD 
HALLENSTEIN GLASSON ,HLG.NZ,New Zealand,Technology,NZE:HLG,NASDAQ:JOSB NYSE:PSS NYSE:GCO ,$JOSB $PSS $GCO 
MICHAEL HILL INTERNATIONAL,MHI.NZ,New Zealand,Technology,NZE:MHI,NZE:HLG NASDAQ:JOSB NYSE:PSS ,HLG.NZ $JOSB $PSS 
GENESCO,$GCO,United States,Technology,NYSE:GCO,NASDAQ:JOSB NYSE:PSS NYSE:ARO NYSE:SKS NYSE:BKE ,$JOSB $PSS $ARO $SKS $BKE 
YOOX,YOOX.MI,Italy,Technology,BIT:YOOX,NZE:HLG NASDAQ:JOSB NYSE:PSS ,HLG.NZ $JOSB $PSS 
SAKS,$SKS,United States,Technology,NYSE:SKS,NYSE:GCO NYSE:ARO NYSE:BKE HKG:0393 NYSE:GES ,$GCO $ARO $BKE 0393.HK $GES 
AMERICAN EAGLE OUTFITTERS,$AEO,United States,Technology,NYSE:AEO,NASDAQ:ASNA NYSE:SIG NASDAQ:URBN HKG:0999 HKG:0589 ,$ASNA $SIG $URBN 0999.HK 0589.HK 
GIORDANO INTERNATIONAL,0709.HK,Hong Kong,Technology,HKG:0709,NYSE:FL LON:NXT HKG:0891 HKG:3389 NYSE:JWN ,$FL NXT.L 0891.HK 3389.HK $JWN 
NEXT,NXT.L,United Kingdom,Technology,LON:NXT,HKG:0999 HKG:0589 NYSE:FL HKG:0709 HKG:0891 ,0999.HK 0589.HK $FL 0709.HK 0891.HK 
TJX,$TJX,United States,Technology,NYSE:TJX,NYSE:LTD NYSE:GPS NASDAQ:ROST ,$LTD $GPS $ROST 
GLORIOUS SUN ENTERPRISES,0393.HK,Hong Kong,Technology,HKG:0393,NYSE:SKS NYSE:BKE NYSE:GES NASDAQ:ASNA NYSE:SIG HKG:0999 HKG:0589 ,$SKS $BKE $GES $ASNA $SIG 0999.HK 0589.HK 
FOOT LOCKER,$FL,United States,Technology,NYSE:FL,NASDAQ:URBN HKG:0999 HKG:0589 LON:NXT HKG:0709 NASDAQ:JOSB ,$URBN 0999.HK 0589.HK NXT.L 0709.HK $JOSB 
IT LIMITED,0999.HK,Hong Kong,Technology,HKG:0999,NASDAQ:ASNA NYSE:SIG NASDAQ:URBN HKG:0589 NYSE:FL HKG:0393 ,$ASNA $SIG $URBN 0589.HK $FL 0393.HK 
ANN INC,$ANN,United States,Technology,NYSE:ANN,NZE:HLG NASDAQ:JOSB NYSE:PSS NYSE:GCO NYSE:ARO ,HLG.NZ $JOSB $PSS $GCO $ARO 
REITMANS,RETa.TO,Canada,Technology,TSE:RET.A,NZE:HLG NASDAQ:JOSB NYSE:PSS NYSE:GCO ,HLG.NZ $JOSB $PSS $GCO 
CATO,$CATO,United States,Consumer Goods,NYSE:CATO,NZE:HLG NASDAQ:JOSB NYSE:PSS NYSE:GCO ,HLG.NZ $JOSB $PSS $GCO 
HENGDELI ,3389.HK,Hong Kong,Industrials,HKG:3389,HKG:0709 HKG:0891 NYSE:JWN HKG:0330 NYSE:LTD ,0709.HK 0891.HK $JWN 0330.HK $LTD 
AEROPOSTALE,$ARO,United States,Financials,NYSE:ARO,NASDAQ:JOSB NYSE:PSS NYSE:GCO NYSE:SKS NYSE:BKE ,$JOSB $PSS $GCO $SKS $BKE 
AOKI ,8214.T,Japan,Industrials,TYO:8214,NZE:HLG NASDAQ:JOSB NYSE:PSS ,HLG.NZ $JOSB $PSS 
ORIENTAL WATCH ,0398.HK,Hong Kong,Industrials,HKG:0398,NZE:HLG NASDAQ:JOSB NYSE:PSS NYSE:GCO ,HLG.NZ $JOSB $PSS $GCO 
POINT,2685.T,Japan,Industrials,TYO:2685,NZE:HLG NASDAQ:JOSB NYSE:PSS ,HLG.NZ $JOSB $PSS 
SIGNET JEWELERS,$SIG,United States,Industrials,NYSE:SIG,NYSE:GES NASDAQ:ASNA NASDAQ:URBN HKG:0999 HKG:0589 ,$GES $ASNA $URBN 0999.HK 0589.HK 
AOYAMA TRADING,8219.T,Japan,Industrials,TYO:8219,NZE:HLG NASDAQ:JOSB NYSE:PSS ,HLG.NZ $JOSB $PSS 
UNITED ARROWS,7606.T,Japan,Industrials,TYO:7606,NZE:HLG NASDAQ:JOSB NYSE:PSS ,HLG.NZ $JOSB $PSS 
ESPRIT ,0330.HK,Hong Kong,Industrials,HKG:0330,HKG:3389 NYSE:JWN NYSE:LTD NYSE:GPS NASDAQ:ROST HKG:0393 ,3389.HK $JWN $LTD $GPS $ROST 0393.HK 
PORTS DESIGN,0589.HK,Hong Kong,Industrials,HKG:0589,NASDAQ:URBN HKG:0999 NYSE:FL LON:NXT HKG:0709 HKG:0393 ,$URBN 0999.HK $FL NXT.L 0709.HK 0393.HK 
NISHIMATSUYA CHAIN,7545.T,Japan,Industrials,TYO:7545,NZE:HLG NASDAQ:JOSB NYSE:PSS ,HLG.NZ $JOSB $PSS 
POU SHENG INTERNATIONAL,3813.HK,Hong Kong,Industrials,HKG:3813,NYSE:BKE HKG:0393 NYSE:GES NASDAQ:ASNA NYSE:SIG ,$BKE 0393.HK $GES $ASNA $SIG 
LIMITED BRANDS,$LTD,United States,Industrials,NYSE:LTD,NYSE:JWN HKG:0330 NYSE:GPS NASDAQ:ROST ,$JWN 0330.HK $GPS $ROST 
KOHLS,$KSS,United States,Industrials,NYSE:KSS,NZE:HLG NASDAQ:JOSB NYSE:PSS ,HLG.NZ $JOSB $PSS 
URBAN OUTFITTERS,$URBN,United States,Industrials,NASDAQ:URBN,NASDAQ:ASNA NYSE:SIG HKG:0999 HKG:0589 NYSE:FL ,$ASNA $SIG 0999.HK 0589.HK $FL 
ASCENA RETAIL ,$ASNA,United States,Industrials,NASDAQ:ASNA,NYSE:BKE HKG:0393 NYSE:GES NYSE:SIG NASDAQ:URBN ,$BKE 0393.HK $GES $SIG $URBN 
NORDSTROM,$JWN,United States,Industrials,NYSE:JWN,HKG:0709 HKG:0891 HKG:3389 HKG:0330 NYSE:LTD NASDAQ:JOSB ,0709.HK 0891.HK 3389.HK 0330.HK $LTD $JOSB 
ROSS STORES,$ROST,United States,Industrials,NASDAQ:ROST,HKG:0330 NYSE:LTD NYSE:GPS ,0330.HK $LTD $GPS 
GUESS,$GES,United States,Industrials,NYSE:GES,NYSE:BKE HKG:0393 NASDAQ:ASNA NYSE:SIG NASDAQ:URBN ,$BKE 0393.HK $ASNA $SIG $URBN 
N BROWN GROUP,BWNG.L,United Kingdom,Industrials,LON:BWNG,NZE:HLG NASDAQ:JOSB NYSE:PSS NYSE:GCO ,HLG.NZ $JOSB $PSS $GCO 
MENS WEARHOUSE,$MW,United States,Industrials,NYSE:MW,NZE:HLG NASDAQ:JOSB NYSE:PSS ,HLG.NZ $JOSB $PSS 
PARCO,8251.T,Japan,Industrials,TYO:8251,NZE:HLG NASDAQ:JOSB NYSE:PSS ,HLG.NZ $JOSB $PSS 
CHICOS FAS,$CHS,United States,Industrials,NYSE:CHS,NZE:HLG NASDAQ:JOSB NYSE:PSS ,HLG.NZ $JOSB $PSS 
BUCKLE,$BKE,United States,Industrials,NYSE:BKE,NYSE:GCO NYSE:ARO NYSE:SKS HKG:0393 NYSE:GES ,$GCO $ARO $SKS 0393.HK $GES 
GAP,$GPS,United States,Industrials,NYSE:GPS,NYSE:JWN HKG:0330 NYSE:LTD NASDAQ:ROST ,$JWN 0330.HK $LTD $ROST 
JOS A BANK CLOTHIERS,$JOSB,United States,Industrials,NASDAQ:JOSB,NZE:HLG NYSE:PSS NYSE:GCO NYSE:ARO ,HLG.NZ $PSS $GCO $ARO 
COLLECTIVE BRANDS,$PSS,United States,Industrials,NYSE:PSS,NZE:HLG NASDAQ:JOSB NYSE:GCO NYSE:ARO ,HLG.NZ $JOSB $GCO $ARO 
FAST RETAILING ,9983.T,Japan,Industrials,TYO:9983,NZE:HLG NASDAQ:JOSB NYSE:PSS ,HLG.NZ $JOSB $PSS 
TRINITY,0891.HK,Hong Kong,Industrials,HKG:0891,NYSE:FL LON:NXT HKG:0709 HKG:3389 NYSE:JWN HKG:0393 ,$FL NXT.L 0709.HK 3389.HK $JWN 0393.HK 
CHINA DONGXIANG,3818.HK,Hong Kong,Industrials,HKG:3818,NYSE:SIG NASDAQ:URBN HKG:0999 HKG:0589 NYSE:FL ,$SIG $URBN 0999.HK 0589.HK $FL 
FEDERATED INVESTORS,$FII,United States,Industrials,NYSE:FII,LON:JUP NYSE:JNS LON:HL LON:ADN NYSE:EV ,JUP.L $JNS HRGV.L ADN.L $EV 
JUPITER FUND MANAGEMENT,JUP.L,United Kingdom,Technology,LON:JUP,LON:RAT ASX:PPT NYSE:JNS LON:HL ,RAT.L PPT.AX $JNS HRGV.L 
PERPETUAL,PPT.AX,Australia,Technology,ASX:PPT,LON:RAT LON:JUP NYSE:JNS LON:HL ,RAT.L JUP.L $JNS HRGV.L 
ABERDEEN ASSET MANAGEMENT,ADN.L,United Kingdom,Oil & Gas,LON:ADN,NYSE:JNS LON:HL NYSE:EV NASDAQ:SEIC NYSE:LM LON:RAT ,$JNS HRGV.L $EV $SEIC $LM RAT.L 
T. ROWE PRICE ,$TROW,United States,Telecommunications,NASDAQ:TROW,NYSE:IVZ TSE:IGM NASDAQ:NTRS TSE:BAM.A NYSE:STT ,$IVZ IGM.TO $NTRS BAMa.TO $STT 
HARGREAVES LANSDOWN,HRGV.L,United Kingdom,Consumer Goods,LON:HL,LON:JUP NYSE:JNS LON:ADN NYSE:EV NASDAQ:SEIC ,JUP.L $JNS ADN.L $EV $SEIC 
INVESCO,$IVZ,United States,Consumer Goods,NYSE:IVZ,TSE:CIX HKG:0806 TSE:IGM NASDAQ:NTRS NASDAQ:TROW ,CIX.TO 0806.HK IGM.TO $NTRS $TROW 
MAN GROUP ,EMG.L,United Kingdom,Consumer Goods,LON:EMG,LON:RAT ASX:PPT LON:JUP NYSE:JNS LON:HL ,RAT.L PPT.AX JUP.L $JNS HRGV.L 
RATHBONE BROTHERS,RAT.L,United Kingdom,Consumer Goods,LON:RAT,ASX:PPT LON:JUP NYSE:JNS ,PPT.AX JUP.L $JNS 
KENEDIX,4321.T,Japan,Consumer Goods,TYO:4321,LON:RAT ASX:PPT LON:JUP ,RAT.L PPT.AX JUP.L 
AZIMUT,AZMT.MI,Italy,Consumer Goods,BIT:AZM,LON:RAT ASX:PPT LON:JUP NYSE:JNS LON:HL ,RAT.L PPT.AX JUP.L $JNS HRGV.L 
BLACKROCK,$BLK,United States,Consumer Goods,NYSE:BLK,NYSE:STT NYSE:BEN NYSE:BK ,$STT $BEN $BK 
CI FINANCIAL,CIX.TO,Canada,Consumer Goods,TSE:CIX,NYSE:LM LON:SDR HKG:0806 NYSE:IVZ TSE:IGM ,$LM SDR.L 0806.HK $IVZ IGM.TO 
HENDERSON GROUP ,HGGH.L,United Kingdom,Utilities,LON:HGG,LON:RAT ASX:PPT LON:JUP NYSE:JNS LON:HL ,RAT.L PPT.AX JUP.L $JNS HRGV.L 
PLATINUM ASSET MANAGEMENT,PTM.AX,Australia,Utilities,ASX:PTM,LON:JUP NYSE:JNS LON:HL LON:ADN NYSE:EV ,JUP.L $JNS HRGV.L ADN.L $EV 
LEGG MASON,$LM,United States,Industrials,NYSE:LM,NYSE:EV NASDAQ:SEIC LON:SDR TSE:CIX HKG:0806 ,$EV $SEIC SDR.L CIX.TO 0806.HK 
AFFILIATED MANAGERS GROUP,$AMG,United States,Consumer Services,NYSE:AMG,NYSE:LM LON:SDR TSE:CIX HKG:0806 NYSE:IVZ ,$LM SDR.L CIX.TO 0806.HK $IVZ 
STATE STREET,$STT,United States,Industrials,NYSE:STT,NASDAQ:NTRS NASDAQ:TROW TSE:BAM.A NYSE:BEN NYSE:BK ,$NTRS $TROW BAMa.TO $BEN $BK 
IGM FINANCIAL,IGM.TO,Canada,Industrials,TSE:IGM,TSE:CIX HKG:0806 NYSE:IVZ NASDAQ:NTRS NASDAQ:TROW ,CIX.TO 0806.HK $IVZ $NTRS $TROW 
