Name,Twitter Ticker,Country,Industry,Google Ticker,Google Peers,Twitter Peers
IG GROUP ,IGG.L,United Kingdom,Financials,LON:IGG,TSE:CF LON:TLPR HKG:0064 LON:IAP NASDAQ:ETFC ,CF.TO TLPR.L 0064.HK IAP.L $ETFC 
MATSUI SECURITIES,8628.T,Japan,Financials,TYO:8628,NZE:NZX TSE:GMP AMS:BINCK ,NZX.NZ GMP.TO BINCK.AS 
MONEX ,8698.T,Japan,Financials,TYO:8698,NZE:NZX TSE:GMP AMS:BINCK ,NZX.NZ GMP.TO BINCK.AS 
MORGAN STANLEY,$MS,United States,Financials,NYSE:MS,NYSE:SCHW NASDAQ:CME NSE:INDIAINFO NYSE:GS NSE:L&TFH ,$SCHW $CME IIFL.NS $GS LTFH.NS 
STIFEL FINANCIAL,$SF,United States,Financials,NYSE:SF,TSE:CF LON:TLPR HKG:0064 LON:IAP NASDAQ:ETFC ,CF.TO TLPR.L 0064.HK IAP.L $ETFC 
TD AMERITRADE ,$AMTD,United States,Financials,NASDAQ:AMTD,NYSE:NYX ETR:DB1 ASX:MQG NYSE:ICE NSE:JMFINANCIL ,$NYX DB1Gn.DE MQG.AX $ICE JMSH.NS 
SBI ,8473.T,Japan,Financials,TYO:8473,NZE:NZX TSE:GMP AMS:BINCK ,NZX.NZ GMP.TO BINCK.AS 
CITIC SECURITIES,6030.HK,Hong Kong,Financials,HKG:6030,NSE:INDIAINFO NYSE:MS NYSE:GS NSE:L&TFH ,IIFL.NS $MS $GS LTFH.NS 
GREENHILL,$GHL,United States,Financials,NYSE:GHL,NZE:NZX TSE:GMP AMS:BINCK NASDAQ:ETFC NASDAQ:LPLA ,NZX.NZ GMP.TO BINCK.AS $ETFC $LPLA 
KNIGHT CAPITAL ,$KCG,United States,Financials,NYSE:KCG,TSE:CF LON:TLPR HKG:0064 LON:IAP NASDAQ:ETFC ,CF.TO TLPR.L 0064.HK IAP.L $ETFC 
INDIA INFOLINE,IIFL.NS,India,Financials,NSE:INDIAINFO,NYSE:AMP NYSE:SCHW NASDAQ:CME NYSE:MS NYSE:GS NSE:JMFINANCIL NSE:L&TFH ,$AMP $SCHW $CME $MS $GS JMSH.NS LTFH.NS 
CLOSE BROTHERS ,CBRO.L,United Kingdom,Financials,LON:CBG,TSE:CF LON:TLPR HKG:0064 LON:IAP NASDAQ:ETFC ,CF.TO TLPR.L 0064.HK IAP.L $ETFC 
CHARLES SCHWAB,$SCHW,United States,Financials,NYSE:SCHW,NSE:JMFINANCIL NYSE:AMP NASDAQ:CME NSE:INDIAINFO NYSE:MS ,JMSH.NS $AMP $CME IIFL.NS $MS 
NOMURA ,8604.T,Japan,Financials,TYO:8604,NZE:NZX TSE:GMP AMS:BINCK ,NZX.NZ GMP.TO BINCK.AS 
PRESIDENT SECURITIES,2855.TW,Taiwan,Financials,TPE:2855,NYSE:SCHW NASDAQ:CME NSE:INDIAINFO NYSE:MS NYSE:GS ,$SCHW $CME IIFL.NS $MS $GS 
JEFFERIES ,$JEF,United States,Financials,NYSE:JEF,HKG:0064 LON:IAP NASDAQ:ETFC TSE:X NASDAQ:LPLA ,0064.HK IAP.L $ETFC X.TO $LPLA 
CME GROUP,$CME,United States,Financials,NASDAQ:CME,NYSE:AMP NYSE:SCHW NSE:INDIAINFO NYSE:MS NYSE:GS ,$AMP $SCHW IIFL.NS $MS $GS 
E*TRADE FINANCIAL,$ETFC,United States,Financials,NASDAQ:ETFC,LON:TLPR HKG:0064 LON:IAP TSE:X NASDAQ:LPLA ,TLPR.L 0064.HK IAP.L X.TO $LPLA 
JM FINANCIAL,JMSH.NS,India,Financials,NSE:JMFINANCIL,ASX:MQG NASDAQ:AMTD NYSE:ICE NYSE:AMP NYSE:SCHW NSE:INDIAINFO NSE:L&TFH ,MQG.AX $AMTD $ICE $AMP $SCHW IIFL.NS LTFH.NS 
LONDON STOCK EXCHANGE  ,LSE.L,United Kingdom,Financials,LON:LSE,HKG:0064 LON:IAP NASDAQ:ETFC TSE:X NASDAQ:LPLA ,0064.HK IAP.L $ETFC X.TO $LPLA 
DAIWA SECURITIES ,8601.T,Japan,Financials,TYO:8601,NZE:NZX TSE:GMP AMS:BINCK ,NZX.NZ GMP.TO BINCK.AS 
GUOTAI JUNAN INTERNATIONAL,1788.HK,Hong Kong,Financials,HKG:1788,NASDAQ:LPLA NASDAQ:NDAQ ASX:CPU ASX:ASX NYSE:NYX ,$LPLA $NDAQ CPU.AX ASX.AX $NYX 
HONG KONG EXCHANGES AND CLEARING,0388.HK,Hong Kong,Financials,HKG:0388,NSE:INDIAINFO NYSE:MS NYSE:GS NSE:L&TFH ,IIFL.NS $MS $GS LTFH.NS 
NASDAQ OMX ,$NDAQ,United States,Financials,NASDAQ:NDAQ,NASDAQ:ETFC TSE:X NASDAQ:LPLA ASX:CPU ASX:ASX ,$ETFC X.TO $LPLA CPU.AX ASX.AX 
CHINA BILLS FINANCE,2820.TW,Taiwan,Financials,TPE:2820,NSE:JMFINANCIL NYSE:AMP NYSE:SCHW NASDAQ:CME NSE:INDIAINFO ,JMSH.NS $AMP $SCHW $CME IIFL.NS 
LPL INVESTMENT ,$LPLA,United States,Financials,NASDAQ:LPLA,NASDAQ:ETFC TSE:X NASDAQ:CBOE NASDAQ:NDAQ ASX:CPU ,$ETFC X.TO $CBOE $NDAQ CPU.AX 
SESA GOA,SESA.NS,India,Basic Materials,NSE:SESAGOA,NSE:JINDALSAW NSE:BHUSANSTL NSE:JSWSTEEL NSE:SAIL TPE:2002 ,JIND.NS BSSL.NS JSTL.NS SAIL.NS 2002.TW 
COMMERCIAL METALS,$CMC,United States,Basic Materials,NYSE:CMC,ASX:OST LON:FXPO TSE:RUS ETR:SZG ASX:SGM ,OST.AX FXPO.L RUS.TO SZGG.DE SGM.AX 
NUCOR,$NUE,United States,Basic Materials,NYSE:NUE,NSE:USHAMART NSE:JAICORPLTD TPE:2014 ASX:FMG BIT:TEN NYSE:AKS NASDAQ:STLD ,USBL.NS JAIC.NS 2014.TW FMG.AX TENR.MI $AKS $STLD 
